gene	AC_afr	AC_sas	AC_amr	AC_eas	AC_nfe	AC_fin	AC_asj	AC_main	AN_afr	AN_sas	AN_amr	AN_eas	AN_nfe	AN_fin	AN_asj	AN_main	U	tercile	shet_cassa
A1BG	2	4	9	3	8	0	0	26	13535.0769230769	27767.6923076923	31261.8461538462	16013.2307692308	94906	18892.9230769231	9129.38461538462	183483.846153846	1e-06	2	0.0067941873
A1CF	3	4	0	3	16	1	0	26	16178.3157894737	29613.5789473684	33776.2105263158	18215.0526315789	112025.263157895	21390.1052631579	9798.84210526316	209808.421052632	1.9e-06	3	0.0223128341
A2M	7	6	12	2	36	1	1	63	15299.7419354839	29853.1612903226	33740.5161290323	17773.3548387097	110526.774193548	21338.8387096774	9914.25806451613	207193.548387097	3.98e-06	3	0.0131856312
A3GALT2	101	7	16	0	9	0	0	133	10777.0769230769	25616.1538461538	27697.5384615385	13308.1538461538	84884.6153846154	16312.7692307692	8251.07692307692	162283.538461538	7.35e-07	2	0.0009017516
A4GALT	4	1	4	4	1	0	0	14	16133.5	30609.5	34567.75	18360.25	112987.75	21544.5	10041.5	212658.75	4.22e-07	1	0.0097130065
AAAS	13	10	9	2	50	1	0	84	16203.04	30601.44	34575.84	18384.88	113552.8	21620.72	10065.92	213318	1.97e-06	3	0.0044380677
AACS	14	11	28	27	29	0	0	109	16237.2413793103	30412.5517241379	34405.5862068966	18366.6206896552	113407.448275862	21526.6206896552	10048.7586206897	212829.448275862	1.61e-06	3	0.0033572206
AADAC	1	0	1	31	3	0	0	36	16023.6	30027.2	33816.8	18170.8	112593.6	21330.8	10019.6	210632	7.2e-07	1	0.0045577727
AADACL2	2	1	2	0	12	0	0	17	16148.6666666667	30447.3333333333	34312	18343.6666666667	113346.666666667	21636.3333333333	10057	212598.333333333	1.13e-06	2	0.0037165061
AADACL3	0	0	1	3	1	0	0	5	15392.6666666667	29024	33042.6666666667	17730	110614.666666667	21270.6666666667	9465.33333333333	205804	4.65e-07	1	0.0055439783
AADACL4	0	6	1	77	0	1	0	84	16216.3333333333	30091.6666666667	34115.3333333333	18337.6666666667	112635	21489.3333333333	9783.66666666667	211396	6.11e-07	1	0.0024078948
AADAT	0	1	1	1	3	0	0	6	15978.6666666667	28405	31399.3333333333	17678.3333333333	111188.666666667	21453	9704.66666666667	204650	1.02e-06	2	0.0461675482
AAED1	3	52	10	0	47	0	1	112	14666.2	27566.8	30817.2	16823.2	102637.4	20383.4	9477.4	192510.8	4.52e-07	1	0.0007529155
AAGAB	2	0	3	1	15	0	0	21	15397.2307692308	30454.1538461538	34391.0769230769	17929.8461538462	112475.230769231	21473.8461538462	10032.4615384615	210647.538461538	1.04e-06	2	0.0157106619
AAK1	0	1	0	0	1	0	0	2	14080	28267	30667	15478	100721	20279	9608	189213	2.48e-06	3	0.1290383347
AAMDC	1	2	2	16	7	1	0	28	16250.25	30586.75	34487.5	18383.5	113569.25	21639.5	10074	213277.25	3.47e-07	1	0.0029370186
AAMP	0	1	0	0	2	1	0	3	16105	28972.5	33903.5	18305.5	110105	20780	9278	207391.5	9.95e-07	2	0.0452357137
AANAT	4	2	0	1	1	0	0	8	16102.5	30528	34474.5	18348	112291.5	21207.5	10014.5	211744.5	3.93e-07	1	0.0064793177
AAR2	1	2	12	0	12	0	0	27	16238	30612.2222222222	34587.1111111111	18390	113589.111111111	21640.8888888889	10071.5555555556	213416.444444444	5.35e-07	1	0.0040798593
AARD	1	1	5	0	11	0	20	18	16114	30510	34354	18330	113228	21604	10036	212536	3.57e-07	1	0.004804911
AARS	1	4	9	3	19	3	0	36	16058.9090909091	30413	34372.8181818182	18253.4545454545	112412	21464.5454545455	10033.3636363636	211510.181818182	2.94e-06	3	0.02017962
AARS2	6	5	8	4	40	0	1	63	16050.0588235294	30458.2941176471	34407.8235294118	18287.5294117647	112598.117647059	21265.5294117647	10029.8235294118	211801.823529412	3.18e-06	3	0.0175747899
AARSD1	0	0	0	0	25	1	0	25	7780	23052	24788	11314	55948	15454	8426	122882	1.05e-06	2	0.0013374563
AASDH	6	4	7	2	13	3	1	32	15977.3846153846	29326.8461538462	33019.2307692308	17999.2307692308	111856.923076923	21482.4615384615	9875.15384615385	208179.615384615	2.14e-06	3	0.0173827347
AASDHPPT	2	1	1	0	3	0	0	7	15716.8	29049.6	31545.2	17658.8	110599.2	21415.2	9721.6	204569.6	8.99e-07	2	0.0616750491
AASS	3	12	2	1	23	0	0	41	16132.7692307692	30424.9230769231	34386.5384615385	18295.1538461538	112951.307692308	21506.9230769231	10026.5384615385	212190.692307692	1.96e-06	3	0.0115281583
AATF	2	5	6	2	58	5	45	73	16213.2	30492.5	34402.5	18357	113376.3	21623.8	10051.6	212841.5	1.61e-06	3	0.0088675972
ABAT	0	1	1	0	7	1	2	9	16079.75	30373.75	34443.25	18330.75	112895	21338.5	10029.25	212122.5	1.42e-06	2	0.0248019522
ABCA1	5	7	6	1	27	1	10	46	16241.488372093	30605.3953488372	34578.3255813954	18376.4651162791	113576.325581395	21616.6976744186	10072.8372093023	213378	5.82e-06	3	0.0267998609
ABCA12	3	8	14	5	47	0	6	77	16148.4583333333	30450.2083333333	34360.875	18267.875	113077.791666667	21483	10037.6666666667	212305.208333333	6.72e-06	3	0.020877427
ABCA2	1	3	0	3	7	2	1	14	14780.8333333333	30103.3333333333	33962.8333333333	17607.6666666667	109008.333333333	19708.8333333333	9851.83333333333	205463	5.41e-06	3	0.1050037175
ABCA3	4	4	6	2	14	1	0	30	15934.88	30313.52	34187.68	18161.76	111169.04	20976.8	9986.48	209766.88	3.57e-06	3	0.0194922044
ABCA4	9	35	11	13	93	4	2	161	16052.0681818182	30394.8181818182	34393.2272727273	18263.4545454545	112473.068181818	21334.1136363636	10029.1136363636	211576.636363636	5.98e-06	3	0.0075466304
ABCA5	12	14	21	17	39	4	0	103	15695.8461538462	28772.0769230769	32131.1923076923	17630	110186.923076923	21330.5	9664.38461538462	204416.038461538	4.32e-06	3	0.0087466973
ABCA6	18	11	13	20	50	5	2	112	15769.5217391304	28386.0869565217	31411.9130434783	17624	110005.782608696	21265	9525.91304347826	203197.304347826	3.66e-06	3	0.0072320526
ABCB1	3	0	4	2	13	2	1	22	16244.9523809524	30604	34561.8095238095	18380.8571428571	113509.047619048	21627.8095238095	10070.4761904762	213300.666666667	3.27e-06	3	0.0311575312
ABCB10	1	2	0	10	11	0	0	24	15287.4117647059	28821.0588235294	32541.0588235294	17309.1764705882	107004.823529412	20367.5294117647	9485.76470588235	200963.529411765	1.52e-06	3	0.0144641352
ABCB11	6	16	19	3	13	5	0	57	15114.4827586207	30039.1034482759	33838	17593.6551724138	110089.103448276	21303.7931034483	9955.65517241379	206674.344827586	3.21e-06	3	0.0127765274
ABCB4	8	8	3	5	12	1	1	36	16122	30491.5	34484.4166666667	18323.0833333333	113060.833333333	20894	10033.5833333333	212481.833333333	3.39e-06	3	0.0188697192
ABCB6	5	15	13	2	54	27	1	89	15571.6571428571	29899.6	33661.5428571429	17903.7142857143	109248.857142857	21086.9714285714	9795.88571428571	206285.371428571	2.51e-06	3	0.0056657511
ABCB8	2	20	8	24	17	1	0	71	16110.0740740741	30312.2962962963	34374.5185185185	18345.1851851852	111930.592592593	20955.2592592593	9861.25925925926	211072.666666667	1.75e-06	3	0.0071878206
ABCB9	0	4	7	1	7	3	0	19	16008.1818181818	30090.5454545455	34174	18255.2727272727	111407.090909091	21162.1818181818	9828.54545454545	209935.090909091	1.3e-06	2	0.0136694954
ABCC1	1	1	1	2	19	5	1	24	15235.0476190476	30200.5714285714	34004.0952380952	17756	111460	21282.9523809524	9993.33333333333	208655.714285714	3.78e-06	3	0.0252996316
