gene_symbol	s_het	s_het_lower95	s_het_upper95	NFE_s_het	NFE_s_het_lower95	NFE_s_het_upper95	rank	quintile	decile	U	N	NFE_N	n	NFE_n
CREBBP	0.7127446094	0.177	1	0.5766	0	1	1	1	1	6.42E-06	113189.9753	61824.3065	0	0
CACNA1E	0.6874957422	0.167	1	0.55237	0	1	2	1	1	6.38E-06	105885.3685	61279.8659999999	0	0
TRIP12	0.6602547548	0.157	1	0.5263	0	1	3	1	1	5.36E-06	116128.9936	65776.2444	0	0
EIF4G1	0.6394100936	0.148	1	0.5064	0	1	4	1	1	5.02E-06	116189.4986	66008.3037	0	0
USP9X	0.6203604953	0.141	1	0.48826	0	1	5	1	1	7.05E-06	77810.53955	45820.4633	0	0
HELZ	0.616952455	0.14	1	0.48501	0	1	6	1	1	4.78E-06	113486.5676	66295.2973	0	0
UBR5	0.6153967657	0.187	1	0.51241	0	1	7	1	1	9.20E-06	115980.3895	66716	1	1
MED13	0.6088890489	0.137	1	0.47735	0	1	8	1	1	4.63E-06	114075.7071	65259.7639	0	0
KDM3B	0.5986495478	0.133	1	0.46763	0	1	9	1	1	4.35E-06	117307.6764	65138.9312	0	0
SMC3	0.5862676563	0.129	1	0.45589	0	1	10	1	1	4.23E-06	115619.3626	65255.7467	0	0
MED12	0.583941063	0.128	1	0.45369	0	1	11	1	1	6.30E-06	77005.13964	42134.7085	0	0
NIPBL	0.5730901126	0.17	1	0.47297	0	1	12	1	1	8.39E-06	113800.2804	66676	1	0
COPA	0.5521212387	0.116	1	0.42363	0	1	13	1	1	3.68E-06	117622.8069	65767.2381	0	0
KMT2E	0.5477724412	0.115	1	0.41953	0	1	14	1	1	3.73E-06	114191.493	65639.7297	0	0
SF3B1	0.5472902138	0.115	1	0.41908	0	1	15	1	1	3.79E-06	112182.2047	66293.4444	0	0
RLF	0.5470529783	0.115	1	0.41886	0	1	16	1	1	3.60E-06	117998.6356	65359.5378	0	0
RSF1	0.5422235921	0.113	1	0.41431	0	1	17	1	1	3.68E-06	113366.0616	62190.0229	0	0
BRWD3	0.5414794173	0.113	1	0.41361	0	1	18	1	1	5.49E-06	75777.91772	44638.3455	0	0
SCAF8	0.5369964631	0.111	1	0.4094	0	1	19	1	1	3.59E-06	113935.5333	65882.3824	0	0
SMARCC2	0.5346187014	0.11	1	0.40716	0	1	20	1	1	3.48E-06	116478.0138	65408.8829	0	0
RALGAPB	0.5343013729	0.11	1	0.40686	0	1	21	1	1	3.43E-06	118032.9231	66654.67	0	0
FNDC3B	0.5313978708	0.109	1	0.40414	0	1	22	1	1	3.47E-06	115382.6785	66478.4211	0	0
SIN3A	0.5312335309	0.109	1	0.40398	0	1	23	1	1	3.38E-06	118380.2764	66432.6186	0	0
SUPT16H	0.5309600282	0.109	1	0.40373	0	1	24	1	1	3.49E-06	114528.705999999	62613.9275	0	0
YTHDC1	0.5302632259	0.109	1	0.40307	0	1	25	1	1	3.45E-06	115546.593	65500.9783	0	0
CTNND2	0.5273530625	0.108	1	0.40034	0	1	26	1	1	3.44E-06	114588.5078	63889.3846	0	0
LPHN1	0.5236307114	0.107	1	0.39685	0	1	27	1	1	3.77E-06	103057.4538	58993.6422	0	0
NCKAP1	0.5235627232	0.107	1	0.39679	0	1	28	1	1	3.52E-06	110347.6231	64172.5714	0	0
KDM2A	0.5212288388	0.106	1	0.3946	0	1	29	1	1	3.65E-06	105451.2596	62833.2857	0	0
USP47	0.5194483256	0.105	1	0.39293	0	1	30	1	1	3.37E-06	113417.5991	65534.05	0	0
MAPK8IP3	0.5084419077	0.101	1	0.38263	0	1	31	1	1	3.41E-06	107288.9939	58677.9634	0	0
THRAP3	0.508059647	0.101	1	0.38227	0	1	32	1	1	3.12E-06	117081.2523	65514.304	0	0
SYNGAP1	0.5061121602	0.101	1	0.38045	0	1	33	1	1	3.35E-06	108190.17	61217.6908	0	0
TLK2	0.5047658253	0.1	1	0.37919	0	1	34	1	1	3.24E-06	111255.7933	64508.7573	0	0
ZC3H4	0.4999283432	0.099	1	0.37467	0	1	35	1	1	3.43E-06	103043.6696	54209.7404	0	0
PPP1R10	0.4968799803	0.098	1	0.37183	0	1	36	1	1	3.13E-06	111516.0398	62646.4545	0	0
UBAP2L	0.492939332	0.096	1	0.36816	0	1	37	1	1	3.01E-06	114087.7464	65911.642	0	0
THOC2	0.4898750996	0.095	1	0.3653	0	1	38	1	1	4.28E-06	79216.97949	45209.2925	0	0
RABGAP1	0.4891944859	0.095	1	0.36467	0	1	39	1	1	2.97E-06	113833.3153	65220.9489	0	0
AGO1	0.4877005956	0.095	1	0.36328	0	1	40	1	1	2.90E-06	115853.223	66215.8169	0	0
IREB2	0.4875655263	0.094	1	0.36315	0	1	41	1	1	2.92E-06	114994.4644	66454.6774	0	0
PRPF3	0.4853268801	0.094	1	0.36107	0	1	42	1	1	2.78E-06	119652.5139	66530.8831	0	0
DHX30	0.4841658852	0.093	1	0.35999	0	1	43	1	1	2.89E-06	114534.9964	63451.5433	0	0
RAD54L2	0.481928947	0.093	1	0.35791	0	1	44	1	1	3.28E-06	99963.62391	57757.4975	0	0
STAG2	0.4789777799	0.092	1	0.35516	0	1	45	1	1	4.12E-06	78587.24636	47263.7429	0	0
U2SURP	0.4767026693	0.091	1	0.35305	0	1	46	1	1	3.51E-06	91348.98417	56194.8214	0	0
XPO1	0.4759334809	0.091	1	0.35233	0	1	47	1	1	2.82E-06	113324.5373	65810.3309	0	0
TOP1	0.4722456707	0.089	1	0.34891	0	1	48	1	1	2.94E-06	106978.9572	61832.4731	0	0
MED1	0.4712778462	0.089	1	0.34801	0	1	49	1	1	2.64E-06	118635.4097	66265.9341	0	0
XPO6	0.4706571164	0.089	1	0.34744	0	1	50	1	1	2.77E-06	112762.4137	64048.2371	0	0
TRRAP	0.4701902871	0.159	1	0.39732	0	1	51	1	1	9.82E-06	115248.2118	65346	2	1
CUL2	0.4697344621	0.089	1	0.34658	0	1	52	1	1	2.88E-06	108019.809	63335.5824	0	0
ZFHX3	0.4688479582	0.129	1	0.37695	0	1	53	1	1	5.94E-06	118057.5419	66666	1	0
PSMD1	0.4661183205	0.088	1	0.34323	0	1	54	1	1	2.76E-06	110943.0188	63920.614	0	0
AGO3	0.4650399465	0.087	1	0.34223	0	1	55	1	1	2.69E-06	113290.1535	66041.3608	0	0
TCEB3	0.4648526294	0.087	1	0.34206	0	1	56	1	1	2.77E-06	109927.2926	63562.7193	0	0
DHX15	0.4648480574	0.087	1	0.34205	0	1	57	1	1	2.65E-06	114902.8125	66357.6911	0	0
GRIN2B	0.4644061573	0.087	1	0.34165	0	1	58	1	1	2.55E-06	119175.9115	66522.9899	0	0
MED14	0.4635245919	0.087	1	0.34083	0	1	59	1	1	4.30E-06	70398.9552	40326.2895	0	0
TRIM24	0.4631592947	0.087	1	0.34049	0	1	60	1	1	2.75E-06	109900.3399	61328.7087	0	0
ARHGAP35	0.4607203005	0.086	1	0.33823	0	1	61	1	1	2.66E-06	112393.6381	64570.1717	0	0
FNBP4	0.4606887898	0.086	1	0.3382	0	1	62	1	1	2.78E-06	107527.0097	57424.1277	0	0
EIF3A	0.4604529283	0.126	1	0.3693	0	1	63	1	1	5.98E-06	114093.425999999	66568	1	1
ZNF609	0.4603418187	0.086	1	0.33788	0	1	64	1	1	2.52E-06	118437.6634	65985.2393	0	0
HOOK3	0.4599268451	0.086	1	0.3375	0	1	65	1	1	2.69E-06	110747.4397	63739.2051	0	0
UBTF	0.4577846084	0.085	1	0.33552	0	1	66	1	1	2.60E-06	113487.4528	61089.9259	0	0
RBM15	0.4568379508	0.085	1	0.33464	0	1	67	1	1	2.51E-06	117057.8392	65063.9558	0	0
PSMD2	0.4565528088	0.084	1	0.33438	0	1	68	1	1	2.46E-06	119283.9471	65754.1111	0	0
TRIM33	0.4565461013	0.084	1	0.33437	0	1	69	1	1	2.73E-06	107483.3891	59670.1806	0	0
COPB2	0.452312564	0.083	1	0.33046	0	1	70	1	1	2.52E-06	114232.1382	65277.7115	0	0
ILF3	0.4490672775	0.082	1	0.32747	0	1	71	1	1	2.49E-06	113909.4002	65031.7129	0	0
RPRD2	0.4456871183	0.081	1	0.32435	0	1	72	1	1	2.53E-06	110379.6017	62118.1237	0	0
ZNF521	0.445323909	0.081	1	0.32402	0	1	73	1	1	2.45E-06	113792.7985	65574.4553	0	0
RBM39	0.445057382	0.081	1	0.32377	0	1	74	1	1	2.59E-06	107509.324	63390	0	0
TNPO1	0.4447724585	0.081	1	0.32351	0	1	75	1	1	2.50E-06	111232.992	65883.2661	0	0
INTS6	0.4434963162	0.08	1	0.32233	0	1	76	1	1	2.54E-06	108835.8616	65221.9832	0	0
VCP	0.4424803887	0.08	1	0.3214	0	1	77	1	1	2.30E-06	119626.6733	66557.8226	0	0
LRP8	0.4396264443	0.079	1	0.31877	0	1	78	1	1	2.52E-06	107738.2828	56464.3972	0	0
RRM1	0.4392953659	0.079	1	0.31846	0	1	79	1	1	2.42E-06	112016.3758	65980.8485	0	0
AGO2	0.4392126876	0.079	1	0.31839	0	1	80	1	1	2.33E-06	116298.1048	63718.2921	0	0
ZFPM2	0.4385962758	0.079	1	0.31782	0	1	81	1	1	2.50E-06	108076.8151	64032.2267	0	0
COL5A1	0.4375491171	0.118	1	0.3485	0	1	82	1	1	5.77E-06	109459.6683	66342	1	0
PHF12	0.4357542113	0.078	1	0.31521	0	1	83	1	1	2.39E-06	111547.3633	62753.4881	0	0
LRP1	0.4352349463	0.166	1	0.37813	0	1	84	1	1	1.25E-05	114610.8146	65734.6667	3	2
EIF4B	0.4350165018	0.078	1	0.31453	0	1	85	1	1	2.38E-06	111625.7022	64334.9091	0	0
SMC1A	0.4349727921	0.078	1	0.31449	0	1	86	1	1	3.37E-06	78817.26271	43539.2182	0	0
TET3	0.4340032565	0.077	1	0.3136	0	1	87	1	1	2.58E-06	102478.96	57865.1497	0	0
GIGYF2	0.4338407309	0.117	1	0.34514	0	1	88	1	1	5.72E-06	109007.8554	66614	1	1
ZNF608	0.4334963942	0.077	1	0.31313	0	1	89	1	1	2.23E-06	118277.9384	66358.5161	0	0
HCFC1	0.4331732388	0.077	1	0.31284	0	1	90	1	1	3.58E-06	73562.78122	41273.4986	0	0
CAPRIN1	0.4319875727	0.077	1	0.31175	0	1	91	1	1	2.28E-06	114855.7981	63254.6061	0	0
UBA1	0.4317226772	0.077	1	0.3115	0	1	92	1	1	3.46E-06	75589.69106	42101.8232	0	0
NAA35	0.4306804873	0.076	1	0.31055	0	1	93	1	1	2.33E-06	111691.1896	65410.4783	0	0
MAP3K12	0.4293619231	0.076	1	0.30934	0	1	94	1	1	2.24E-06	115446.6114	65033.9333	0	0
FBXW7	0.4285975432	0.076	1	0.30864	0	1	95	1	1	2.29E-06	112511.772	64685.4629999999	0	0
PAN3	0.4284701607	0.076	1	0.30852	0	1	96	1	1	2.32E-06	110988.8209	62511.6207	0	0
SLC4A4	0.428217031	0.076	1	0.30829	0	1	97	1	1	2.22E-06	115847.0468	64511.2717	0	0
